RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B4-000430,2014/01/02 00:00:00+00,1442,"N 66,MARCIA to Q",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1
B4-000433,2014/01/02 00:00:00+00,1030,"U,N 24 to N 25",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,2
B4-000446,2014/01/02 00:00:00+00,1525,"SOUTH,S 56 to S 57",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,3
B4-000447,2014/01/02 00:00:00+00,1516,S 27 at CAPITOL PKWY,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4
B4-000448,2014/01/02 00:00:00+00,1546,"W HARVEST,NW 4 to NW 5",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,5
B4-000450,2014/01/02 00:00:00+00,1555,"N 45,R to VINE",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,6
B4-000451,2014/01/02 00:00:00+00,1550,"W O,W ROUNDHOUSE to SUN VALLEY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,7
B4-000457,2014/01/02 00:00:00+00,1616,"N 14,KNOX to NELSON",NON-INJ,HEAD ON,2,0,NO,NO,NO,NO,NO,NO,NO,8
B4-000459,2014/01/02 00:00:00+00,9999,"LOGAN,N 61 to N 62",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,9
B4-001922,2014/01/08 00:00:00+00,723,"HOLDREGE,N 80 to NORTHWOODS DR",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,10
B4-002087,2014/01/07 00:00:00+00,9999,1317 Q at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,11
B4-000467,2014/01/02 00:00:00+00,1643,S 16 at ARAPAHOE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,12
B4-000067,2014/01/01 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,13
B4-001923,2014/01/08 00:00:00+00,725,"S 84,A to JANSSEN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,14
B4-000470,2014/01/02 00:00:00+00,1645,"S 33,A to B",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,15
B4-002088,2014/01/08 00:00:00+00,1532,"S 84,MANDARIN to PIONEERS",NON-INJ,OTHER,3,0,NO,NO,NO,NO,NO,NO,NO,16
B4-001924,2014/01/08 00:00:00+00,730,"SALTILLO,S 14 to S 25",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,17
B4-000138,2014/01/01 00:00:00+00,915,17 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,18
