RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B7-000051,2017/01/01 00:00:00+00,210,"N ANTELOPE VALL,VINE to N 17",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1
B7-000055,2017/01/01 00:00:00+00,237,"CORNHUSKER,N 31 to N 33",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2
B7-000057,2017/01/01 00:00:00+00,229,"CORNHUSKER,N 17 to YOLANDE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,3
B7-000062,2017/01/01 00:00:00+00,9999,"CAPITOL PKWY W,S 9 to S FOLSOM",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,4
B7-000131,2017/01/01 00:00:00+00,35,"N 4,ADAMS to NANCE",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,5
B7-000138,2017/01/01 00:00:00+00,1013,S 16 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6
B7-000141,2017/01/01 00:00:00+00,9999,5501 ADAMS at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,7
B7-000146,2017/01/01 00:00:00+00,1106,"S 17,K to L",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,8
B7-000198,2017/01/01 00:00:00+00,1524,N 84 at LEXINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,9
B7-000224,2017/01/01 00:00:00+00,1728,S 48 at OLD CHENEY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,10
B7-000247,2017/01/01 00:00:00+00,1935,CAPITOL PKWY at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,11
B7-000288,2017/01/01 00:00:00+00,2243,S FOLSOM at W E,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,12
B7-000327,2017/01/02 00:00:00+00,9999,10 at O,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,13
B7-000359,2017/01/02 00:00:00+00,740,"SW 16,W PLUM to W SOUTH",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,14
B7-000378,2017/01/02 00:00:00+00,1057,"N 27,SUPERIOR to KING LN",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,15
B7-000408,2017/01/02 00:00:00+00,1236,"O,45 to 46",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,16
B7-000433,2017/01/02 00:00:00+00,1419,"KNOX,N 19 to PORTIA",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,17
B7-000458,2017/01/02 00:00:00+00,1541,N 22 at Q,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,18
B7-000490,2017/01/02 00:00:00+00,1730,"LEIGHTON,DOROTHY to N 74",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,19
B7-000511,2017/01/02 00:00:00+00,1827,S 40 at A,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,20
B7-000630,2017/01/02 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,YES,NO,21
B7-000633,2017/01/02 00:00:00+00,9999,"W,N 69 to N 70",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,22
B7-000649,2017/01/03 00:00:00+00,1025,S 16 at K,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,23
B7-000652,2017/01/03 00:00:00+00,1030,"N,S 13 to S 14",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,24
B7-000673,2017/01/03 00:00:00+00,1146,4433 S 70 at PARKING LOT,NON-INJ,,3,0,NO,NO,NO,NO,NO,YES,NO,25
B7-000674,2017/01/03 00:00:00+00,1140,2801 PINE LAKE at PARKING LOT,INJURY,,2,2,NO,NO,NO,NO,NO,NO,NO,26
B7-000678,2017/01/03 00:00:00+00,1150,"S 48,F to RANDOLPH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,27
B7-000692,2017/01/03 00:00:00+00,1228,"S 56,MADALYN to PINE LAKE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,28
B7-000693,2016/12/15 00:00:00+00,9999,3117 W at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,29
B7-000703,2017/01/03 00:00:00+00,1300,"N 48,O to R",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,30
