RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B5-000979,2015/01/04 00:00:00+00,1556,S 27 at CAPITOL PKWY,NON-INJ H&R,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,1
B5-000982,2015/01/04 00:00:00+00,1700,N 59 at FRANCIS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2
B5-000991,2015/01/04 00:00:00+00,1721,S 56 at PINE LAKE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,3
B5-000993,2015/01/04 00:00:00+00,1725,"PINE LAKE,S 56 to S 59 CR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4
B5-000995,2015/01/04 00:00:00+00,1744,"N 17,X to N ANTELOPE VALL",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,5
B5-001002,2015/01/04 00:00:00+00,1812,S 27 at OLD CHENEY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,6
B5-001004,2015/01/04 00:00:00+00,1817,"PINE LAKE,S 34 to S 38",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,7
B5-001018,2015/01/04 00:00:00+00,1905,17 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,8
B5-001355,2015/01/06 00:00:00+00,800,"WILSHIRE,MAHONEY to N 55",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,9
B5-001032,2015/01/04 00:00:00+00,2104,"PINE LAKE,S 34 to S 38",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,10
B5-001356,2015/01/06 00:00:00+00,800,"PINE LAKE,S 16 to S 20",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,11
B5-001050,2015/01/04 00:00:00+00,2259,FREMONT & BENTON at TOUZALIN & N 60,NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,12
B5-003220,2015/01/13 00:00:00+00,1044,CORNHUSKER at ADAMS,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,13
B5-000021,2015/01/01 00:00:00+00,105,"N 29,PEAR to VINE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,14
B5-001357,2015/01/06 00:00:00+00,800,"HOLDREGE,N 70 to N 71",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,15
B5-001088,2015/01/05 00:00:00+00,747,"S 40,STONECLIFFE to SWEETBRIAR",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,16
B5-001364,2015/01/06 00:00:00+00,859,"O,EASTRIDGE to LYNCREST",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,17
B5-002542,2015/01/10 00:00:00+00,9999,"S 27,JAMESON NORTH to OLD CHENEY",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,18
B5-001089,2015/01/05 00:00:00+00,748,S 37 at SHERIDAN,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,19
B5-000037,2015/01/01 00:00:00+00,9999,"P,N 31 to N 32",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,20
B5-003226,2015/01/13 00:00:00+00,1120,"NORMAL,FRANKLIN to SOUTH",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,21
B5-001384,2015/01/06 00:00:00+00,9999,"N 46,O to Q",NON-INJ H&R,UNKNOWN,1,0,NO,NO,NO,NO,NO,NO,NO,22
B5-002547,2015/01/10 00:00:00+00,1825,S 10 at N,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,23
B5-001093,2015/01/05 00:00:00+00,750,S 56 at MELROSE,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,24
