RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B6-000045,2016/01/01 00:00:00+00,135,"SHERIDAN,BRADFIELD to S 27",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,YES,NO,1
B6-001506,2016/01/06 00:00:00+00,1757,"S 40,HIGH to SHERIDAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2
B6-000050,2016/01/01 00:00:00+00,20,"S 10,HIGH to VAN DORN",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,3
B6-001509,2016/01/06 00:00:00+00,1800,S 9 at M,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,4
B6-000127,2016/01/01 00:00:00+00,9999,2801 TIERRA DR at PARKING LOT,NON-INJ H&R,,3,0,NO,NO,NO,NO,NO,NO,NO,5
B6-001513,2016/01/06 00:00:00+00,1810,N 11 at SAUNDERS,INJURY,TURNING,2,4,NO,NO,NO,NO,NO,NO,NO,6
B6-000129,2016/01/01 00:00:00+00,820,"CORNHUSKER,N 23 to N 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,7
B6-002765,2016/01/11 00:00:00+00,622,"W FLETCHER,NW 7 to NW 12",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,8
B6-001533,2016/01/06 00:00:00+00,1941,N 36 at ADAMS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,9
B6-000130,2016/01/01 00:00:00+00,829,HILLTOP at N 15,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,10
B6-001587,2016/01/07 00:00:00+00,103,SW 6 at W A,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,11
B6-002772,2016/01/11 00:00:00+00,730,"N 84,ELIZABETH to NORTHWOODS DR",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,12
B6-000131,2016/01/01 00:00:00+00,9999,"N 15,HUMPHREY to WHITEWATER LN",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,13
B6-001612,2016/01/07 00:00:00+00,635,S 45 at SOUTH,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,14
B6-000133,2016/01/01 00:00:00+00,848,S 10 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,15
B6-001640,2016/01/07 00:00:00+00,959,S 17 at H,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,16
B6-000139,2016/01/01 00:00:00+00,1004,"BENTON,N 65 to N 66",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,17
B6-002775,2016/01/11 00:00:00+00,747,"S 70,HOLMES PARK RD to PIONEER WOODS DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,18
B6-000901,2016/01/04 00:00:00+00,1705,"FAULKNER DR,S 40 to VILLAGE DR",INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,19
B6-002778,2016/01/11 00:00:00+00,800,S 31 at F,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,20
B6-000918,2016/01/04 00:00:00+00,1813,"N 27,ENTERPRISE to FLETCHER",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,21
B6-001645,2016/01/05 00:00:00+00,9999,"8201 S 40,TARGET to PARKING LOT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,22
