SalePrice,SaleType_Con,Condition2_RRAn,Heating_Floor,Exterior2nd_Other,SaleCondition_Alloca,LotArea,Neighborhood_Veenker,OverallQual,Neighborhood_NoRidge,Neighborhood_NridgHt,Heating_Grav,SaleCondition_Partial,SaleType_New,ExterQual,GarageCars,Exterior2nd_CmentBd,KitchenQual,BsmtQual,Condition2_PosN,GrLivArea
208500.0,0,0,0,0,0,8450,0,7,0,0,0,0,0,4.0,2.0,0,4.0,4.0,0,1710
181500.0,0,0,0,0,0,9600,1,6,0,0,0,0,0,3.0,2.0,0,3.0,4.0,0,1262
223500.0,0,0,0,0,0,11250,0,7,0,0,0,0,0,4.0,2.0,0,4.0,4.0,0,1786
140000.0,0,0,0,0,0,9550,0,7,0,0,0,0,0,3.0,3.0,0,4.0,3.0,0,1717
250000.0,0,0,0,0,0,14260,0,8,1,0,0,0,0,4.0,3.0,0,4.0,4.0,0,2198
143000.0,0,0,0,0,0,14115,0,5,0,0,0,0,0,3.0,2.0,0,3.0,4.0,0,1362
307000.0,0,0,0,0,0,10084,0,8,0,0,0,0,0,4.0,2.0,0,4.0,5.0,0,1694
200000.0,0,0,0,0,0,10382,0,7,0,0,0,0,0,3.0,2.0,0,3.0,4.0,0,2090
129900.0,0,0,0,0,0,6120,0,7,0,0,0,0,0,3.0,2.0,0,3.0,3.0,0,1774
118000.0,0,0,0,0,0,7420,0,5,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,1077
129500.0,0,0,0,0,0,11200,0,5,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,1040
345000.0,0,0,0,0,0,11924,0,9,0,1,0,1,1,5.0,3.0,0,5.0,5.0,0,2324
144000.0,0,0,0,0,0,12968,0,5,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,912
279500.0,0,0,0,0,0,10652,0,7,0,0,0,1,1,4.0,3.0,0,4.0,4.0,0,1494
157000.0,0,0,0,0,0,10920,0,6,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,1253
132000.0,0,0,0,0,0,6120,0,7,0,0,0,0,0,3.0,2.0,0,3.0,3.0,0,854
149000.0,0,0,0,0,0,11241,0,6,0,0,0,0,0,3.0,2.0,0,3.0,3.0,0,1004
90000.0,0,0,0,0,0,10791,0,4,0,0,0,0,0,3.0,2.0,0,3.0,0.0,0,1296
159000.0,0,0,0,0,0,13695,0,5,0,0,0,0,0,3.0,2.0,0,4.0,3.0,0,1114
139000.0,0,0,0,0,0,7560,0,5,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,1339
325300.0,0,0,0,0,0,14215,0,8,0,1,0,1,1,4.0,3.0,0,4.0,5.0,0,2376
139400.0,0,0,0,0,0,7449,0,7,0,0,0,0,0,3.0,1.0,0,4.0,3.0,0,1108
230000.0,0,0,0,0,0,9742,0,8,0,0,0,0,0,4.0,2.0,0,4.0,4.0,0,1795
129900.0,0,0,0,0,0,4224,0,5,0,0,0,0,0,3.0,2.0,1,3.0,4.0,0,1060
154000.0,0,0,0,0,0,8246,0,5,0,0,0,0,0,3.0,1.0,0,4.0,3.0,0,1060
256300.0,0,0,0,0,0,14230,0,8,0,1,0,0,0,4.0,3.0,0,4.0,4.0,0,1600
134800.0,0,0,0,0,0,7200,0,5,0,0,0,0,0,3.0,2.0,0,4.0,3.0,0,900
306000.0,0,0,0,0,0,11478,0,8,0,1,0,0,0,4.0,3.0,0,4.0,5.0,0,1704
207500.0,0,0,0,0,0,16321,0,5,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,1600
68500.0,0,0,0,0,0,6324,0,4,0,0,0,0,0,3.0,1.0,0,2.0,3.0,0,520
40000.0,0,0,0,0,0,8500,0,4,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,1317
149350.0,0,0,0,0,0,8544,0,5,0,0,0,0,0,3.0,1.0,0,4.0,3.0,0,1228
179900.0,0,0,0,0,0,11049,0,8,0,0,0,0,0,4.0,2.0,0,4.0,5.0,0,1234
165500.0,0,0,0,0,0,10552,0,5,0,0,0,0,0,3.0,2.0,0,4.0,3.0,0,1700
277500.0,0,0,0,0,0,7313,0,9,0,1,0,0,0,5.0,2.0,0,5.0,5.0,0,1561
309000.0,0,0,0,0,0,13418,0,8,0,1,0,0,0,4.0,3.0,0,4.0,5.0,0,2452
145000.0,0,0,0,0,0,10859,0,5,0,0,0,0,0,3.0,2.0,0,3.0,4.0,0,1097
153000.0,0,0,0,0,0,8532,0,5,0,0,0,0,0,3.0,2.0,0,3.0,3.0,0,1297
109000.0,0,0,0,0,0,7922,0,5,0,0,0,0,0,3.0,1.0,0,4.0,3.0,0,1057
82000.0,0,0,0,0,0,6040,0,4,0,0,0,0,0,3.0,0.0,0,2.0,0.0,0,1152
160000.0,0,0,0,0,0,8658,0,6,0,0,0,0,0,3.0,2.0,0,3.0,3.0,0,1324
